"NDC Description",NDC,"NADAC Per Unit","Effective Date","Pricing Unit","Pharmacy Type Indicator",OTC,"Explanation Code","Classification for Rate Setting","Corresponding Generic Drug NADAC Per Unit","Corresponding Generic Drug Effective Date","As of Date"
"PREGABALIN 25 MG CAPSULE",72205001190,0.04425,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 25 MG CAPSULE",76282056890,0.04425,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 300 MG CAPSULE",00904700504,0.06604,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 300 MG CAPSULE",13668036505,0.06604,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 300 MG CAPSULE",31722061705,0.06604,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 300 MG CAPSULE",31722061790,0.06604,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 300 MG CAPSULE",43547051309,0.06604,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 300 MG CAPSULE",43598029890,0.06604,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 300 MG CAPSULE",50228035790,0.06604,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"PREGABALIN 300 MG CAPSULE",62332012690,0.06604,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
