"NDC Description",NDC,"NADAC Per Unit","Effective Date","Pricing Unit","Pharmacy Type Indicator",OTC,"Explanation Code","Classification for Rate Setting","Corresponding Generic Drug NADAC Per Unit","Corresponding Generic Drug Effective Date","As of Date"
"JANTOVEN 3 MG TABLET",00832121400,0.08294,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JANTOVEN 3 MG TABLET",00832121401,0.08294,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JANTOVEN 3 MG TABLET",00832121410,0.08294,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JANTOVEN 3 MG TABLET",00832121489,0.08294,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JANTOVEN 4 MG TABLET",00832121500,0.08595,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JANTOVEN 4 MG TABLET",00832121501,0.08595,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JANTOVEN 4 MG TABLET",00832121510,0.08595,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JANTOVEN 4 MG TABLET",00832121589,0.08595,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JANTOVEN 5 MG TABLET",00832121600,0.08505,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JANTOVEN 5 MG TABLET",00832121601,0.08505,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JANTOVEN 5 MG TABLET",00832121610,0.08505,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JANTOVEN 5 MG TABLET",00832121689,0.08505,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JANTOVEN 6 MG TABLET",00832121700,0.10107,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JANTOVEN 6 MG TABLET",00832121701,0.10107,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JANTOVEN 7.5 MG TABLET",00832121800,0.08892,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JANTOVEN 7.5 MG TABLET",00832121801,0.08892,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JANTOVEN 7.5 MG TABLET",00832121889,0.08892,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JANUMET 50-1,000 MG TABLET",00006057761,5.27924,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JANUMET 50-1,000 MG TABLET",00006057762,5.27924,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JANUMET 50-1,000 MG TABLET",00006057782,5.27924,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JANUMET 50-500 MG TABLET",00006057561,5.28418,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JANUMET 50-500 MG TABLET",00006057562,5.28418,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JANUMET 50-500 MG TABLET",00006057582,5.28418,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JANUMET XR 100-1,000 MG TABLET",00006008131,10.55509,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JANUMET XR 100-1,000 MG TABLET",00006008154,10.55509,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JANUMET XR 100-1,000 MG TABLET",00006008182,10.55509,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JANUMET XR 50-1,000 MG TABLET",00006008061,5.27609,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JANUMET XR 50-1,000 MG TABLET",00006008062,5.27609,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JANUMET XR 50-1,000 MG TABLET",00006008082,5.27609,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JANUMET XR 50-500 MG TABLET",00006007861,5.28147,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JANUMET XR 50-500 MG TABLET",00006007862,5.28147,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JANUMET XR 50-500 MG TABLET",00006007882,5.28147,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JANUVIA 100 MG TABLET",00006027701,10.55442,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JANUVIA 100 MG TABLET",00006027728,10.55442,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JANUVIA 100 MG TABLET",00006027731,10.55442,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JANUVIA 100 MG TABLET",00006027754,10.55442,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JANUVIA 100 MG TABLET",00006027782,10.55442,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JANUVIA 25 MG TABLET",00006022101,10.54560,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JANUVIA 25 MG TABLET",00006022128,10.54560,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JANUVIA 25 MG TABLET",00006022131,10.54560,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JANUVIA 25 MG TABLET",00006022154,10.54560,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JANUVIA 50 MG TABLET",00006011201,10.54884,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JANUVIA 50 MG TABLET",00006011228,10.54884,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JANUVIA 50 MG TABLET",00006011231,10.54884,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JANUVIA 50 MG TABLET",00006011254,10.54884,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JARDIANCE 10 MG TABLET",00597015230,11.19625,01/01/2026,EA,C/I,N,2,B,,,04/29/2026
"JARDIANCE 10 MG TABLET",00597015237,11.19625,01/01/2026,EA,C/I,N,2,B,,,04/29/2026
"JARDIANCE 10 MG TABLET",00597015290,11.19625,01/01/2026,EA,C/I,N,2,B,,,04/29/2026
"JARDIANCE 25 MG TABLET",00597015330,11.19650,01/01/2026,EA,C/I,N,2,B,,,04/29/2026
"JARDIANCE 25 MG TABLET",00597015337,11.19650,01/01/2026,EA,C/I,N,2,B,,,04/29/2026
"JARDIANCE 25 MG TABLET",00597015390,11.19650,01/01/2026,EA,C/I,N,2,B,,,04/29/2026
"JASMIEL 3 MG-0.02 MG TABLET",50102024001,0.16558,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JASMIEL 3 MG-0.02 MG TABLET",50102024021,0.16558,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JASMIEL 3 MG-0.02 MG TABLET",50102024023,0.16558,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JATENZO 158 MG CAPSULE",69087015812,8.98034,01/01/2026,EA,C/I,N,2,B,,,04/29/2026
"JATENZO 198 MG CAPSULE",69087019812,8.98837,01/01/2026,EA,C/I,N,2,B,,,04/29/2026
"JATENZO 237 MG CAPSULE",69087023712,18.00431,01/01/2026,EA,C/I,N,2,B,,,04/29/2026
"JENCYCLA 0.35 MG TABLET",68180087771,0.09225,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JENCYCLA 0.35 MG TABLET",68180087773,0.09225,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JENTADUETO 2.5 MG-1,000 MG TAB",00597014818,8.43944,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JENTADUETO 2.5 MG-1,000 MG TAB",00597014860,8.43944,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JENTADUETO 2.5 MG-500 MG TAB",00597014618,8.44699,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JENTADUETO 2.5 MG-500 MG TAB",00597014660,8.44699,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JENTADUETO 2.5 MG-850 MG TAB",00597014718,8.43976,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JENTADUETO 2.5 MG-850 MG TAB",00597014760,8.43976,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JENTADUETO XR 2.5 MG-1,000 MG",00597027073,8.46916,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JENTADUETO XR 2.5 MG-1,000 MG",00597027094,8.46916,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JENTADUETO XR 5 MG-1,000 MG TB",00597027533,16.95154,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JENTADUETO XR 5 MG-1,000 MG TB",00597027581,16.95154,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JINTELI 1 MG-5 MCG TABLET",00093312228,0.83835,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JINTELI 1 MG-5 MCG TABLET",00093312242,0.83835,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JINTELI 1 MG-5 MCG TABLET",00093312298,0.83835,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JOLESSA 0.15 MG-0.03 MG TABLET",00555912366,0.15734,04/22/2026,EA,C/I,N,"1, 6",G,,,04/29/2026
"JORNAY PM 100 MG CAPSULE",71376020503,15.41508,01/01/2026,EA,C/I,N,2,B,,,04/29/2026
"JORNAY PM 20 MG CAPSULE",71376020103,15.42563,01/01/2026,EA,C/I,N,2,B,,,04/29/2026
"JORNAY PM 40 MG CAPSULE",71376020203,15.41503,01/01/2026,EA,C/I,N,2,B,,,04/29/2026
"JORNAY PM 60 MG CAPSULE",71376020303,15.41360,01/01/2026,EA,C/I,N,2,B,,,04/29/2026
"JORNAY PM 80 MG CAPSULE",71376020403,15.40113,01/01/2026,EA,C/I,N,2,B,,,04/29/2026
"JOURNAVX 50 MG TABLET",51167054830,14.84148,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JOURNAVX 50 MG TABLET",51167054834,14.84148,04/22/2026,EA,C/I,N,1,B,,,04/29/2026
"JOYEAUX-28 TABLET",70700017784,4.44411,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JOYEAUX-28 TABLET",70700017785,4.44411,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JUBBONTI 60 MG/ML SYRINGE",61314024063,1536.31809,04/22/2026,ML,C/I,N,"1, 5",B-BIO,,,04/29/2026
"JULEBER 28 DAY TABLET",16714046401,0.13240,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JULEBER 28 DAY TABLET",16714046404,0.13240,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JULUCA 50-25 MG TABLET",49702024213,121.94919,01/01/2026,EA,C/I,N,2,B,,,04/29/2026
"JUNEL 1 MG-20 MCG TABLET",00555902542,0.16522,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JUNEL 1.5 MG-30 MCG TABLET",00555902742,0.34622,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JUNEL FE 1 MG-20 MCG TABLET",00555902658,0.12836,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JUNEL FE 1.5 MG-30 MCG TABLET",00555902858,0.14287,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JUNEL FE 24 TABLET",00093532828,0.21521,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"JUNEL FE 24 TABLET",00093532862,0.21521,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"K-PHOS NEUTRAL TABLET",00486112501,0.28099,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"K-PHOS NEUTRAL TABLET",00486112505,0.28099,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"K-PHOS ORIGINAL TABLET",00486111101,0.55674,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"K-PHOS ORIGINAL TABLET",00486111105,0.55674,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"KAITLIB FE 0.8-0.025 MG CHEW TB",68180090371,1.43720,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"KAITLIB FE 0.8-0.025 MG CHEW TB",68180090373,1.43720,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"KAPSPARGO SPRINKLE 100 MG CAP",10631001030,2.29103,04/01/2026,EA,C/I,N,3,B,,,04/29/2026
"KAPSPARGO SPRINKLE 25 MG CAP",10631000830,1.89425,04/01/2026,EA,C/I,N,3,B,,,04/29/2026
"KAPSPARGO SPRINKLE 50 MG CAP",10631000930,1.89204,04/01/2026,EA,C/I,N,3,B,,,04/29/2026
"KARBINAL ER 4 MG/5 ML SUSP",23594010105,1.19478,04/22/2026,ML,C/I,N,"1, 5",B,1.04881,04/22/2026,04/29/2026
"KARIVA 28 DAY TABLET",00555905058,0.15354,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"KARIVA 28 DAY TABLET",00555905079,0.15354,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"KATERZIA 1 MG/ML SUSPENSION",52652500101,4.19139,01/01/2026,ML,C/I,N,"2, 5",B,,,04/29/2026
"KELNOR 1-35 28 TABLET",00555906458,0.31525,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"KELNOR 1-35 28 TABLET",00555906479,0.31525,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"KENALOG-10 50 MG/5 ML VIAL",00003049420,2.32312,04/22/2026,ML,C/I,N,"1, 5",B,,,04/29/2026
"KENALOG-40 200 MG/5 ML VIAL",00003029320,9.11653,04/22/2026,ML,C/I,N,"1, 5",B,6.27971,04/22/2026,04/29/2026
"KENALOG-40 40 MG/ML VIAL",00003029305,9.01160,04/22/2026,ML,C/I,N,"1, 5",B,6.8117,04/22/2026,04/29/2026
"KENALOG-40 400 MG/10 ML VIAL",00003029328,6.79721,04/22/2026,ML,C/I,N,"1, 5",B,5.38394,04/22/2026,04/29/2026
"KENALOG-80 80 MG/ML VIAL",00003031505,17.82692,04/22/2026,ML,C/I,N,"1, 5",B,,,04/29/2026
"KEPPRA 1,000 MG TABLET",50474059766,19.90274,01/01/2026,EA,C/I,N,2,B,0.16425,04/22/2026,04/29/2026
"KEPPRA 100 MG/ML ORAL SOLN",50474000148,1.92339,01/01/2026,ML,C/I,N,"2, 5",B,0.03022,04/22/2026,04/29/2026
"KEPPRA 250 MG TABLET",50474059440,8.11587,01/01/2026,EA,C/I,N,4,B,0.05825,04/22/2026,04/29/2026
"KEPPRA 500 MG TABLET",50474059540,9.91977,01/01/2026,EA,C/I,N,2,B,0.07798,04/22/2026,04/29/2026
"KEPPRA 750 MG TABLET",50474059640,13.46948,01/01/2026,EA,C/I,N,2,B,0.11697,04/22/2026,04/29/2026
"KEPPRA XR 500 MG TABLET",50474059866,9.01276,01/01/2026,EA,C/I,N,2,B,0.17667,04/22/2026,04/29/2026
"KEPPRA XR 750 MG TABLET",50474059966,13.51656,01/01/2026,EA,C/I,N,2,B,0.24315,04/22/2026,04/29/2026
"KERENDIA 10 MG TABLET",50419054001,22.87377,01/01/2026,EA,C/I,N,2,B,,,04/29/2026
"KERENDIA 10 MG TABLET",50419054002,22.87377,01/01/2026,EA,C/I,N,2,B,,,04/29/2026
"KERENDIA 10 MG TABLET",50419054006,22.87377,01/21/2026,EA,C/I,N,2,B,,,04/29/2026
"KERENDIA 20 MG TABLET",50419054101,22.86223,01/01/2026,EA,C/I,N,2,B,,,04/29/2026
"KERENDIA 20 MG TABLET",50419054102,22.86223,01/01/2026,EA,C/I,N,2,B,,,04/29/2026
"KERENDIA 20 MG TABLET",50419054106,22.86223,01/21/2026,EA,C/I,N,2,B,,,04/29/2026
"KERENDIA 40 MG TABLET",50419054201,22.86037,02/18/2026,EA,C/I,N,2,B,,,04/29/2026
"KERENDIA 40 MG TABLET",50419054202,22.86037,02/18/2026,EA,C/I,N,2,B,,,04/29/2026
"KERENDIA 40 MG TABLET",50419054205,22.86037,04/29/2026,EA,C/I,N,2,B,,,04/29/2026
"KERENDIA 40 MG TABLET",50419054206,22.86037,02/18/2026,EA,C/I,N,2,B,,,04/29/2026
"KESIMPTA 20 MG/0.4 ML PEN",00078100768,24459.32006,01/07/2026,ML,C/I,N,"2, 5",B,,,04/29/2026
"KETAMINE 500 MG/10 ML VIAL",00143950810,0.52148,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETAMINE 500 MG/10 ML VIAL",00409205310,0.52148,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETAMINE 500 MG/10 ML VIAL",25021068310,0.52148,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETAMINE 500 MG/10 ML VIAL",55150043910,0.52148,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETAMINE 500 MG/10 ML VIAL",65219018810,0.52148,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETAMINE 500 MG/10 ML VIAL",72572032010,0.52148,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETAMINE 500 MG/5 ML VIAL",00143950910,1.56548,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETAMINE 500 MG/5 ML VIAL",00409004010,1.56548,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETAMINE 500 MG/5 ML VIAL",00409205105,1.56548,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETAMINE 500 MG/5 ML VIAL",25021068405,1.56548,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETAMINE 500 MG/5 ML VIAL",65219018605,1.56548,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETAMINE 500 MG/5 ML VIAL",72572032110,1.56548,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOCONAZOLE 2% CREAM",00093321992,0.17988,04/22/2026,GM,C/I,N,"1, 5",G,,,04/29/2026
"KETOCONAZOLE 2% CREAM",00168009960,0.17988,04/22/2026,GM,C/I,N,"1, 5",G,,,04/29/2026
"KETOCONAZOLE 2% CREAM",16714095503,0.17988,04/22/2026,GM,C/I,N,"1, 5",G,,,04/29/2026
"KETOCONAZOLE 2% CREAM",21922002507,0.17988,04/22/2026,GM,C/I,N,"1, 5",G,,,04/29/2026
"KETOCONAZOLE 2% CREAM",51672129803,0.17988,04/22/2026,GM,C/I,N,"1, 5",G,,,04/29/2026
"KETOCONAZOLE 2% CREAM",00093321930,0.25290,04/22/2026,GM,C/I,N,"1, 5",G,,,04/29/2026
"KETOCONAZOLE 2% CREAM",00168009930,0.25290,04/22/2026,GM,C/I,N,"1, 5",G,,,04/29/2026
"KETOCONAZOLE 2% CREAM",16714095502,0.25290,04/22/2026,GM,C/I,N,"1, 5",G,,,04/29/2026
"KETOCONAZOLE 2% CREAM",21922002505,0.25290,04/22/2026,GM,C/I,N,"1, 5",G,,,04/29/2026
"KETOCONAZOLE 2% CREAM",51672129802,0.25290,04/22/2026,GM,C/I,N,"1, 5",G,,,04/29/2026
"KETOCONAZOLE 2% CREAM",00093321915,0.31394,04/22/2026,GM,C/I,N,"1, 5",G,,,04/29/2026
"KETOCONAZOLE 2% CREAM",00168009915,0.31394,04/22/2026,GM,C/I,N,"1, 5",G,,,04/29/2026
"KETOCONAZOLE 2% CREAM",16714095501,0.31394,04/22/2026,GM,C/I,N,"1, 5",G,,,04/29/2026
"KETOCONAZOLE 2% CREAM",21922002504,0.31394,04/22/2026,GM,C/I,N,"1, 5",G,,,04/29/2026
"KETOCONAZOLE 2% CREAM",51672129801,0.31394,04/22/2026,GM,C/I,N,"1, 5",G,,,04/29/2026
"KETOCONAZOLE 2% FOAM",45802053233,3.02927,04/22/2026,GM,C/I,N,"1, 5",G,,,04/29/2026
"KETOCONAZOLE 2% FOAM",70700016020,3.02927,04/22/2026,GM,C/I,N,"1, 5",G,,,04/29/2026
"KETOCONAZOLE 2% FOAM",45802053232,6.15915,04/22/2026,GM,C/I,N,"1, 5",G,,,04/29/2026
"KETOCONAZOLE 2% FOAM",70700016019,6.15915,04/22/2026,GM,C/I,N,"1, 5",G,,,04/29/2026
"KETOCONAZOLE 2% SHAMPOO",00713059204,0.07977,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOCONAZOLE 2% SHAMPOO",45802046564,0.07977,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOCONAZOLE 2% SHAMPOO",63646001004,0.07977,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOCONAZOLE 2% SHAMPOO",70954066210,0.07977,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOCONAZOLE 2% SHAMPOO",72578015612,0.07977,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOCONAZOLE 2% SHAMPOO",72603087801,0.07977,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOCONAZOLE 200 MG TABLET",35573043302,0.63202,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"KETOCONAZOLE 200 MG TABLET",35573043330,0.63202,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"KETOCONAZOLE 200 MG TABLET",51672402601,0.63202,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"KETOCONAZOLE 200 MG TABLET",51672402606,0.63202,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"KETOCONAZOLE 200 MG TABLET",64380082706,0.63202,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"KETODAN 2% FOAM",43538053010,3.02927,04/22/2026,GM,C/I,N,"1, 5",G,,,04/29/2026
"KETOPROFEN ER 200 MG CAPSULE",00378820001,6.46184,03/18/2026,EA,C/I,N,4,G,,,04/29/2026
"KETOROLAC 0.4% OPHTH SOLUTION",60758077305,12.73539,04/22/2026,ML,C/I,N,"1, 5, 6",G,,,04/29/2026
"KETOROLAC 0.5% OPHTH SOLUTION",42571013726,1.21008,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 0.5% OPHTH SOLUTION",60505100302,1.21008,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 0.5% OPHTH SOLUTION",61314012610,1.21008,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 0.5% OPHTH SOLUTION",65145014001,1.21008,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 0.5% OPHTH SOLUTION",69315032210,1.21008,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 0.5% OPHTH SOLUTION",70512079010,1.21008,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 0.5% OPHTH SOLUTION",42571013725,1.40002,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 0.5% OPHTH SOLUTION",60505100301,1.40002,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 0.5% OPHTH SOLUTION",61314012605,1.40002,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 0.5% OPHTH SOLUTION",65145013901,1.40002,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 0.5% OPHTH SOLUTION",69315032205,1.40002,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 0.5% OPHTH SOLUTION",70512079005,1.40002,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 10 MG TABLET",00093031401,0.13651,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"KETOROLAC 10 MG TABLET",00378113401,0.13651,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"KETOROLAC 10 MG TABLET",00904730304,0.13651,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"KETOROLAC 10 MG TABLET",27241031601,0.13651,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"KETOROLAC 10 MG TABLET",31722068601,0.13651,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"KETOROLAC 10 MG TABLET",43598013901,0.13651,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"KETOROLAC 10 MG TABLET",60687010411,0.13651,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"KETOROLAC 10 MG TABLET",60687010421,0.13651,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"KETOROLAC 10 MG TABLET",62135081160,0.13651,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"KETOROLAC 10 MG TABLET",69292065001,0.13651,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"KETOROLAC 10 MG TABLET",69315026001,0.13651,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"KETOROLAC 10 MG TABLET",69452027520,0.13651,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"KETOROLAC 10 MG TABLET",70710171001,0.13651,04/22/2026,EA,C/I,N,1,G,,,04/29/2026
"KETOROLAC 30 MG/ML VIAL",00338007225,0.73885,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 30 MG/ML VIAL",00409379501,0.73885,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 30 MG/ML VIAL",00409379525,0.73885,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 30 MG/ML VIAL",00641604225,0.73885,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 30 MG/ML VIAL",25021070101,0.73885,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 30 MG/ML VIAL",31722030625,0.73885,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 30 MG/ML VIAL",62332060025,0.73885,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 30 MG/ML VIAL",63323016201,0.73885,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 30 MG/ML VIAL",63323016212,0.73885,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 30 MG/ML VIAL",63323016216,0.73885,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 30 MG/ML VIAL",65145014525,0.73885,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 30 MG/ML VIAL",68462075625,0.73885,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 30 MG/ML VIAL",70512084325,0.73885,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 30 MG/ML VIAL",72266011825,0.73885,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 30 MG/ML VIAL",72572035525,0.73885,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 30 MG/ML VIAL",72603016125,0.73885,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 60 MG/2 ML VIAL",00409379601,0.50862,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 60 MG/2 ML VIAL",00409379625,0.50862,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 60 MG/2 ML VIAL",25021070102,0.50862,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 60 MG/2 ML VIAL",31722030725,0.50862,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 60 MG/2 ML VIAL",62332060125,0.50862,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 60 MG/2 ML VIAL",63323016202,0.50862,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 60 MG/2 ML VIAL",63323016214,0.50862,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 60 MG/2 ML VIAL",63323016226,0.50862,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
"KETOROLAC 60 MG/2 ML VIAL",65145014725,0.50862,04/22/2026,ML,C/I,N,"1, 5",G,,,04/29/2026
